query,gold_url,golden_answer_gpt,golden_answer_opus,golden_answer_gemini,skip_reason
ile trzeba mieć punktów ects na zdanie,https://ww2.mini.pw.edu.pl/wp-content/uploads/Warunki-rejestracji-na-kolejny-semestr_rok-studi%C3%B3w.pdf,"Standardowo **semestr ma 30 ECTS**, a rok **60 ECTS** — tyle daje pełne zaliczenie programu.  
Do przejścia dalej na PW/MiNI może być dopuszczal","Aby zaliczyć rok studiów na MiNI (jak na większości wydziałów PW), standardowo trzeba uzyskać **60 punktów ECTS** (po 30 na semestr).

W praktyce dziekanat zwykle dopuszcza tzw. **deficyt punktowy** (np. do 6–12 ECTS) i wpis warunkowy na kolejny semestr/rok – dokładne progi określa Regulamin Studiów PW oraz decyzje dziekana.

Aby ukończyć całe studia, potrzeba:
- **210 ECTS** – studia inżynierskie (7 semestrów),
- **120 ECTS** – studia magisterskie (4 semestry).

Po szczegóły dotyczące Twojego kierunku najlepiej zajrzeć do programu studiów lub zapytać w dziekanacie.",):* Nominal is 30 ECTS per,
kiedy otwarty jest dziekanat,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/,"Godziny otwarcia dziekanatu MiNI mogą się zmieniać w zależności od semestru i okresu sesji. Najpewniej sprawdzisz je na stronie Wydziału MiNI w zakładce **Studenci → Dziekanat** albo w aktualnościach wydziałowych.  

Jeśli sprawa jest pilna, najlepiej napisać mail do właściwej osoby w dziekanacie lub zadzwonić przed przyjściem.","Dziekanat Wydziału MiNI PW znajduje się w Gmachu Wydziału przy ul. Koszykowej 75 (pokój 130). Godziny przyjęć studentów są zwykle następujące:

- **Poniedziałek**: nieczynne (dzień wewnętrzny)
- **Wtorek–piątek**: ok. 10:00–14:00
- **Środa**: często dłużej, np. do 16:00

Godziny mogą się różnić w zależności od kierunku studiów (matematyka vs. informatyka) i sekcji (studia stacjonarne/niestacjonarne). Aktualny harmonogram najlepiej sprawdzić na stronie **mini.pw.edu.pl** w zakładce „Dziekanat"".",Dziekanat Wydziału MiNI PW jest zaz,
kiedy jest otwarty dziekanat,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/,"Godziny otwarcia dziekanatu MiNI PW mogą się zmieniać w trakcie semestru i poza nim, więc najlepiej sprawdzić aktualny harmonogram na stronie Wydziału MiNI w zakładce **Dziekanat / Obsługa studentów**.  

Zwykle dziekanat przyjmuje studentów w wybrane dni robocze w określonych godzinach, często z przerwą techniczną; część spraw można też załatwić mailowo przez odpowiedni adres dziekanatu.","Dziekanat MiNI PW zazwyczaj jest otwarty od poniedziałku do piątku w godzinach porannych i popołudniowych, z przerwą obiadową, oraz często z jednym dniem wewnętrznym (np. środa) bez obsługi studentów. Dokładne godziny mogą się różnić w zależności od sekcji (studiów stacjonarnych, niestacjonarnych, doktoranckich) i okresu (sesja, wakacje).

Aktualne godziny przyjęć najlepiej sprawdzić na stronie wydziału: **www.mini.pw.edu.pl** w zakładce „Dziekanat"" — tam znajdziesz też kontakt mailowy do konkretnego pracownika obsługującego Twój kierunek.",Dziekanat Wydziału MiNI PW,
jakie są róznice przedmiotowe między kierunkami matematyka a matematyka i analiza danych,https://ww2.mini.pw.edu.pl/studia/inzynierskie-i-licencjackie/matematyka-i-analiza-danych/,"Na MiNI kierunek **Matematyka** jest bardziej klasyczny i teoretyczny: większy nacisk kładzie się na analizę matematyczną, algebrę, geometrię, równania różniczkowe, metody numeryczne oraz przedmioty przygotowujące do specjalności matematycznych.  

**Matematyka i Analiza Danych** ma więcej przedmiotów praktycznych związanych z informatyką i danymi: programowanie, bazy danych, statystyka, rachunek prawdopodobieństwa, uczenie maszynowe, eksploracja danych, wizualizacja i analiza danych.  

W skrócie: **Matematyka** daje szersze i bardziej teoretyczne przygotowanie matematyczne, a **MiAD** łączy matematykę ze statystyką, programowaniem","Na Wydziale MiNI PW oba kierunki mają wspólny solidny fundament matematyczny (analiza, algebra, rachunek prawdopodobieństwa, statystyka), ale różnią się profilem przedmiotów specjalistycznych:

**Matematyka** – kładzie większy nacisk na klasyczne dziedziny teoretyczne i stosowane: analiza funkcjonalna, topologia, równania różniczkowe, geometria, teoria miary, logika, a na wyższych latach specjalności takie jak matematyka finansowa, statystyka matematyczna czy matematyka w informatyce.

**Matematyka i Analiza Danych (MAD)** – od początku ukierunkowana na data science: więcej programowania (Python, R, SQL), uczenie maszynowe, eksploracja danych, wizualizacja, bazy danych, big data, mod",Kierunek **Matematyka** skupia,
ile ects mają obecnie przedmioty na ntym semestrze isi oraz jakie przedmioty będą na kolejnych semestrach,https://ww2.mini.pw.edu.pl/wp-content/uploads/Plan-studiow-I-st-ISI.pdf,"To zależy od **roku rozpoczęcia studiów, stopnia studiów i konkretnego semestru „n”** na kierunku **Informatyka i Systemy Informacyjne (ISI)**, bo programy mogą się różnić między rocznikami.

Najpewniej sprawdzisz to tak:

1. Wejdź do **USOSweb PW**.
2. Wybierz **Katalog → Programy studiów / przedmioty","Niestety nie mam dostępu do aktualnego, szczegółowego programu studiów kierunku **Inżynieria i Analiza Danych / Informatyka i Systemy Informacyjne (ISI)** na MiNI PW na bieżący rok akademicki, więc nie podam Ci dokładnej liczby ECTS dla każdego przedmiotu ani pełnej listy modułów na kolejne semestry.

Najpewniejsze źródła:

1. **Strona MiNI** → zakładka *Studia* → *Programy studiów* → ISI (są tam siatki godzinowe z ECTS dla każdego semestru).
2. **System USOS** – plan studiów i przedmioty obowiązkowe/obieralne dla Twojego rocznika.
3. **Dziekanat ds. studenckich** – pomoże, jeśli masz wątpliwości co do róż",Aby podać dokładną liczbę punktów ECTS oraz,
jaki jest termin sesji w tym roku,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/,"Terminy sesji zależą od aktualnego kalendarza akademickiego PW dla danego roku akademickiego. Zwykle sesja zimowa jest na przełomie stycznia i lutego, sesja letnia w czerwcu, a sesje poprawkowe odpowiednio w lutym oraz we wrześniu.  

Najpewniejsze źródło to **kalendarz roku akademickiego PW** na stronie uczelni oraz komunikaty dziekanatu MiNI / USOS. Jeśli chodzi Ci o konkretnie sesję letnią lub zimową, doprecyzuj, a podpowiem, gdzie to sprawdzić krok po kroku.","Dokładne terminy sesji egzaminacyjnej na MiNI PW są ustalane na każdy rok akademicki w organizacji roku akademickiego publikowanej przez Politechnikę Warszawską. Zazwyczaj:

- **Sesja zimowa**: koniec stycznia – początek lutego (po semestrze zimowym)
- **Sesja letnia**: czerwiec (po semestrze letnim)
- **Sesje poprawkowe**: zwykle pod koniec lutego oraz we wrześniu

Aktualny harmonogram znajdziesz na stronie [www.pw.edu.pl](https://www.pw.edu.pl) w zakładce „Organizacja roku akademickiego"" lub na stronie wydziału [mini.pw.edu.pl](https://www.mini.pw.edu.pl). Polecam też sprawdzić USOS",Dokładne terminy sesji egzaminacyjnej,
terminy sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/,"Terminy sesji na MiNI PW wynikają z ogólnego **harmonogramu roku akademickiego Politechniki Warszawskiej** oraz ewentualnych ustaleń prowadzących w USOS.

Zwykle:
- **sesja zimowa**: koniec stycznia / początek lutego,
- **zimowa poprawkowa**: luty,
- **sesja letnia**: czerwiec / początek lipca,
- **letnia poprawkowa**: wrzesień.

Najpewniej sprawdź: **stronę PW → Studenci → Kalendarz roku akademickiego**, stronę MiNI oraz terminy egzaminów w **USOSweb** przy konkretnych przedmiotach.","Terminy sesji na MiNI PW są ustalane zgodnie z **harmonogramem roku akademickiego** ogłaszanym przez władze Politechniki Warszawskiej. Standardowo:

- **Sesja zimowa**: koniec stycznia – początek lutego (po feriach świątecznych i zajęciach)
- **Sesja poprawkowa zimowa**: druga połowa lutego
- **Sesja letnia**: czerwiec – początek lipca
- **Sesja poprawkowa letnia**: pierwsza połowa września

Dokładne daty na bieżący rok akademicki znajdziesz na stronie wydziału (mini.pw.edu.pl) w zakładce „Studenci"" lub w zarządzeniu Rektora dotyczącym organizacji roku akademickiego.",Dokładne terminy sesji egzaminacyjnej,
kiedy są dni dodatkowo wolne od zajęć,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Dni dodatkowo wolne od zajęć są podawane co roku w **harmonogramie roku akademickiego Politechniki Warszawskiej** oraz ewentualnie w komunikatach **Rektora** lub **Dziekana MiNI**. Najczęściej obejmują okolice świąt, przerwy międzysemestralne oraz pojedyncze dni rektorskie/dziekańskie.

Sprawdź aktualny harmonogram na stronie PW lub MiNI w zakładce dotyczącej organizacji roku akademickiego. W razie wątpliwości warto też śledzić komunikaty w USOSweb i na stronie wydziału.","Dni dodatkowo wolne od zajęć (tzw. dni rektorskie i dziekańskie) są ogłaszane corocznie w zarządzeniach Rektora PW oraz komunikatach Dziekana MiNI. Zazwyczaj dotyczą:

- **Juwenaliów** (przełom maja/czerwca) – kilka dni rektorskich,
- **Wielkiego Czwartku i Piątku** przed Wielkanocą,
- **2 maja** oraz dni okołoświątecznych (przed Bożym Narodzeniem, Nowym Rokiem),
- okazjonalnie **Dnia Wydziału MiNI**.

Aktualny harmonogram znajdziesz na stronie wydziału (mini.pw.edu.pl) w zakładce „Studenci” oraz w zarządzeniach Rektora na bip.pw","skie"" (Dean's days)",
o czas wolny,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Czy chodzi Ci o **dni wolne od zajęć**, **urlop pracowniczy**, czy np. **zwolnienie z zajęć/usprawiedliwienie nieobecności**?

Ogólnie: dni wolne i przerwy w zajęciach sprawdza się w **organizacji roku akademickiego PW** oraz komunikatach Wydziału MiNI/USOS. Jeśli chodzi o indywidualną sprawę studencką, zwykle trzeba złożyć podanie przez **USOSweb/APD/eDziekanat** lub skontaktować się z dziekanatem. W przypadku pracowników kwestie urlopów obsługuje zwykle system kadrowy lub bezpośredni przełożony.","Twoje pytanie jest niejasne — czy chodzi o czas wolny w planie zajęć, organizacje studenckie, sport, czy coś innego?

Na MiNI PW możesz wykorzystać czas wolny np. poprzez:
- **Koła naukowe** (np. KN MiNI, KN BIT, Gradient — uczenie maszynowe),
- **Samorząd Studentów MiNI** i wydarzenia integracyjne,
- **Zajęcia sportowe SWFiS PW** oraz kluby AZS,
- **Chór i zespoły artystyczne PW**.

Doprecyzuj pytanie, a chętnie podpowiem konkretniej.",zależy od kalendarza akademick,
jak wygląda harmonogram roku akademickiego które dni są wolne a w które mamy zmieniony plan,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Harmonogram roku akademickiego na MiNI PW wynika z **zarządzenia Rektora PW** oraz ewentualnych komunikatów dziekana wydziału. Znajdziesz w nim m.in. terminy rozpoczęcia i końca semestrów, sesji egzaminacyjnych, przerw świątecznych, dni wolnych oraz dni z „odrabianym” planem, np. gdy zajęcia odbywają się według planu z innego dnia tygodnia.

Najlepiej sprawdzić:
1. stronę **Politechniki Warszawskiej** – harmonogram roku akademickiego,
2. stronę **MiNI PW / aktualności / dziekanat**,
3. komunikaty w **USOSweb** lub na wydziałowych kanałach informacyjnych.

Jeśli chcesz, mogę też pomóc Ci znaleźć i streścić harmonogram dla konkretnego roku akademickiego, np. 2024/2025 albo 2025/2026.","Harmonogram roku akademickiego na MiNI PW ustalany jest co roku przez Rektora i publikowany na stronie wydziału (mini.pw.edu.pl) oraz w BIP PW. Najważniejsze elementy to:

- **Semestr zimowy:** ok. 1 października – połowa lutego (zajęcia do końca stycznia, sesja w lutym, sesja poprawkowa najczęściej na początku semestru letniego)
- **Semestr letni:** ok. 20 lutego – połowa września (zajęcia do połowy czerwca, sesja czerwiec, poprawki wrzesień)
- **Przerwy:** świąteczna (Boże Narodzenie), wielkanocna, majowa (1–3 maja), Juwenalia (zwykle ok. 4 dni w maju – wtedy zajęcia odwołane)
- **",dziekańskie/zmieniony plan):* Often there,
w jakie dni nie ma zajęć na wydziale jest zmiana dnia,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Informacje o dniach wolnych od zajęć i „zmianach dnia” znajdziesz w **harmonogramie roku akademickiego PW** oraz w komunikatach **Dziekana MiNI** na stronie wydziału.  

Zwykle należy sprawdzić:
1. **dni ustawowo wolne** i przerwy świąteczne,
2. **dni rektorskie/dziekańskie**,
3. terminy typu: „zajęcia odbywają się według planu z poniedziałku/piątku”,
4. komunikaty w USOS lub na stronie MiNI.

Jeśli podasz konkretny semestr albo datę, mogę pomóc ustalić, czy wtedy są zajęcia i według jakiego planu.","Na Wydziale MiNI (jak na całej Politechnice Warszawskiej) co semestr w harmonogramie roku akademickiego wyznaczane są tzw. **dni rektorskie** oraz **dni z przesunięciem** (gdy np. czwartek jest realizowany wg planu poniedziałku), aby wyrównać liczbę zajęć w poszczególnych dniach tygodnia.

Typowe sytuacje to:
- **Dni wolne (rektorskie):** często piątek po Bożym Ciele, 2 maja, dzień przed lub po świętach, Juwenalia.
- **Zamiana dni:** zwykle przy końcu semestru, np. „w czwartek zajęcia wg planu z poniedziałku"".

Dokładne daty znajdziesz w **harmonogramie roku akademickiego** publikowanym przez Rektora P",Jesteś ekspertem od spraw Wydziału,
jaki jest adres mailowy do prodziekana ds nauczania,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/,,"Nie znam dokładnego, aktualnego adresu e-mail prodziekana ds. nauczania Wydziału MiNI PW – dane kontaktowe osób funkcyjnych mogą się zmieniać wraz z kadencją.

Aktualne dane znajdziesz na stronie wydziału: **mini.pw.edu.pl** w zakładce „Władze dziekańskie"" lub „Kontakt"". Możesz też napisać do Dziekanatu (dziekanat@mini.pw.edu.pl), który przekieruje sprawę lub poda właściwy adres.","ka? No, let's use the general official alias",
ile ects muszę wyrobić w ramach przedmiotów obieralnych na 1 semestrze data science,https://ww2.mini.pw.edu.pl/wp-content/uploads/20250529-iad-plan-studiow-mgr-4sem.pdf,,"Na studiach magisterskich Data Science na MiNI PW w pierwszym semestrze obowiązuje zazwyczaj plan, w którym większość punktów ECTS pochodzi z przedmiotów obowiązkowych, a obieralne stanowią uzupełnienie do 30 ECTS na semestr.

Dokładna liczba ECTS do wyrobienia z przedmiotów obieralnych zależy od aktualnego programu studiów (zwykle jest to ok. 4–6 ECTS w pierwszym semestrze, np. jeden przedmiot obieralny). Sugeruję sprawdzić to w aktualnym **programie studiów na stronie MiNI PW** lub w systemie USOS — w sekcji „Plan studiów” dla kierunku Data Science. W razie wątpliwości najlepiej napisać do dziekanatu lub opieku",Na pierwszym semestrze studiów (zarówno,
w które dni zmienia się plan zajęć,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiegohttps://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Plan zajęć może być aktualizowany na bieżąco, zwłaszcza przed rozpoczęciem semestru i w pierwszych 1–2 tygodniach zajęć.  

Jeśli chodzi o dni, w których zajęcia odbywają się według planu z innego dnia tygodnia, są one podane w kalendarzu akademickim PW / zarządzeniu Rektora na dany rok akademicki. Najlepiej sprawdzić:  
1. kalendarz akademicki PW,  
2. stronę MiNI z planami zajęć,  
3. komunikaty w USOS","Plan zajęć na Wydziale MiNI PW zazwyczaj zmienia się na początku każdego semestru — semestr zimowy startuje na początku października, a letni w połowie lutego. W pierwszych 1–2 tygodniach semestru plan bywa korygowany (zmiany sal, godzin, prowadzących), dlatego warto regularnie sprawdzać system USOS oraz wydziałowy planer.

Aktualne informacje o zmianach publikowane są na stronie wydziału (mini.pw.edu.pl) oraz przez starostów grup. Jeśli chodzi Ci o konkretny dzień tygodnia, w którym aktualizowany jest plan — taka informacja zależy od bieżących decyzji dziekanatu i nie jest stała.",Plan zajęć na Wydziale MiNI zmienia się przede,
kiedy są dni wolne,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Dni wolne zależą od aktualnego **harmonogramu roku akademickiego PW** oraz ewentualnych decyzji Rektora lub Dziekana. Zwykle wolne są święta ustawowe, przerwy świąteczne, ferie międzysemestralne oraz ogłoszone **dni/godziny rektorskie lub dziekańskie**.

Najlepiej sprawdzić:
1. stronę PW – „organizacja roku akademickiego”,
2. stronę Wydziału MiNI – aktualności i komunikaty,
3. USOS lub komunikaty prowadzących, jeśli chodzi o konkretne zajęcia.","Na Wydziale MiNI PW dni wolne wynikają z kilku źródeł:

1. **Dni ustawowo wolne** – święta państwowe i kościelne (np. 1 i 11 listopada, 25–26 grudnia, Wielkanoc, 1 i 3 maja, Boże Ciało, 15 sierpnia).
2. **Przerwy w zajęciach** – zimowa (zwykle ok. 23 grudnia – 1 stycznia), wiosenna (Wielkanoc) oraz letnia (lipiec–wrzesień).
3. **Dni rektorskie i dziekańskie** – ogłaszane przez Rektora PW lub Dziekana MiNI w trakcie roku (np. Juwenalia, Dzień Wydziału).

Aktualny harmonogram roku akademickiego znajdziesz na stronie [www.m","na dany rok, ustalany przez Rektora",
które dni mamy wolne,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Dni wolne zależą od **organizacji roku akademickiego PW** oraz ewentualnych **godzin/dni rektorskich lub dziekańskich**. Najpewniej sprawdź:

1. **Harmonogram roku akademickiego PW** – przerwy świąteczne, sesje, dni wolne ustawowo.  
2. **Komunikaty dziekana MiNI** – ewentualne dni/godziny dziekańskie.  
3. **USOS / strona wydziału MiNI** – aktualne ogłoszenia dla studentów.

Jeśli chodzi Ci o konkretny semestr lub miesiąc, napisz który, a pomogę wskazać dokładniej.","Na Wydziale MiNI PW dni wolne od zajęć wynikają z kalendarza akademickiego ustalanego corocznie przez Rektora PW. Standardowo wolne są:

- **Święta państwowe i kościelne** (np. 1 i 11 listopada, 1 i 3 maja, Boże Narodzenie, Wielkanoc, Boże Ciało)
- **Przerwy świąteczne** (zimowa – ok. 23 grudnia–1 stycznia; wielkanocna – kilka dni wokół Wielkanocy)
- **Juwenalia** (zwykle przełom maja i czerwca, decyzją Rektora)
- **Dzień Politechniki Warszawskiej** (15 listopada – zazwyczaj godziny rektorskie lub wolne)
- **Dni rektorskie/dziekańskie** ogłasz",Dokładny wykaz dni wolnych z,
jaki jest program studiów magisterskich smad,https://ww2.mini.pw.edu.pl/studia/magisterskie/matematyka-i-analiza-danych/statystyka-matematyczna-i-analiza-danych/,"SMAD to zwykle **Stosowana Matematyka i Analiza Danych** – studia II stopnia na MiNI PW, łączące zaawansowaną matematykę z metodami analizy danych.

Program obejmuje m.in.:
- statystykę matematyczną i modelowanie probabilistyczne,
- uczenie maszynowe, eksplorację i analizę danych,
- optymalizację i metody numeryczne,
- przedmioty obieralne/specjalistyczne,
- seminarium magisterskie i przygotowanie pracy dyplomowej.

Dokładny plan zależy od rocznika i ścieżki, więc najlepiej sprawdzić aktualny **program studiów / plan studiów SMAD** na stronie Wyd","Studia magisterskie na kierunku **Statystyka Matematyczna i Analiza Danych (SMAD)** na MiNI PW trwają 4 semestry (2 lata) i kończą się tytułem magistra.

**Główne obszary programu:**
- Zaawansowane metody statystyczne (modele liniowe, analiza wielowymiarowa, statystyka bayesowska, statystyka nieparametryczna)
- Uczenie maszynowe i głębokie sieci neuronowe
- Analiza szeregów czasowych
- Metody Monte Carlo, symulacje stochastyczne
- Eksploracja danych, big data
- Przedmioty obieralne (np. NLP, analiza obrazów, finanse ilościowe)

Program kładzie nacisk zarówno na teoretyczne podstawy probabilistyki/statystyki, jak i prakty",AD). Yes! SMAD is a specialization,
kiedy zaczyna się i kończy sesja,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Terminy sesji zależą od aktualnego kalendarza roku akademickiego PW i semestru. Zwykle sesja zimowa trwa na przełomie stycznia i lutego, a sesja letnia w czerwcu; sesje poprawkowe odbywają się najczęściej odpowiednio w lutym oraz we wrześniu. Dokładne daty sprawdź w harmonogramie roku akademickiego na stronie PW/MiNI albo w USOS przy konkretnych przedmiotach.","Na Wydziale MiNI PW sesje egzaminacyjne odbywają się zgodnie z ogólnym kalendarzem akademickim Politechniki Warszawskiej:

- **Sesja zimowa**: zwykle przełom stycznia i lutego (ok. 2 tygodnie), po niej sesja poprawkowa w lutym.
- **Sesja letnia**: zwykle druga połowa czerwca i początek lipca, po niej sesja poprawkowa we wrześniu (przed rozpoczęciem nowego roku akademickiego).

Dokładne daty na bieżący rok akademicki znajdziesz w **Zarządzeniu Rektora PW o organizacji roku akademickiego** oraz na stronie wydziału (mini.pw.edu.pl) w zakładce dla studentów.",Dokładne daty sesji egzamin,
godziny otwarcia dziekanatow sekretariatow,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/,"Godziny otwarcia dziekanatów i sekretariatów MiNI mogą się różnić w zależności od jednostki oraz okresu roku akademickiego. Najpewniejsze źródło to strona Wydziału MiNI PW w zakładce **Kontakt / Dziekanat / Sekretariaty** oraz aktualne komunikaty na stronie wydziału.  

Przed wizytą warto sprawdzić, czy dana sprawa wymaga wcześniejszego umówienia, oraz skontaktować się mailowo lub telefonicznie z właściwym dziekanatem/sekretariatem.","Godziny otwarcia dziekanatu i sekretariatów na Wydziale MiNI PW mogą się różnić w zależności od jednostki, ale typowo:

- **Dziekanat ds. studiów** – obsługa studentów zwykle pon., wt., czw., pt. w godzinach ok. 10:00–14:00, środa często nieczynna (dzień wewnętrzny).
- **Sekretariaty katedr/zakładów** – najczęściej czynne w godzinach 9:00–15:00 w dni robocze.

Aktualne godziny najlepiej sprawdzić na stronie wydziału: **mini.pw.edu.pl** w zakładce „Dziekanat"" lub bezpośrednio pod numerem telefonu danej jednostki, ponieważ w okresach sesji, wakacji czy rekrutacji godziny mogą być zmienione.","):**
    *   *Sentence 1 (",
kiedy są dni wolne i kiedy są zamienione dni np plan wtorkowy w piątek,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,,"Dokładny harmonogram dni wolnych i przesunięć zajęć (np. „piątek według planu wtorkowego"") na Wydziale MiNI PW jest ustalany corocznie w **organizacji roku akademickiego** publikowanej przez Rektora PW oraz uzupełnianej zarządzeniami Dziekana MiNI.

Typowe dni wolne i przesunięcia w roku akademickim:
- **Semestr zimowy:** przerwa świąteczna (ok. 23.12–1.01), Wszystkich Świętych (1.11), Święto Niepodległości (11.11), Święto PW (15.11).
- **Semestr letni:** przerwa wielkanocna, majówka (1–3.05), Boże Ciało, Juwenalia.
- **Przesunięcia („dzień rektorski"" lub odrabianie):** najczęściej w ok",Szczegółowe daty dni,
jaki jest harmonogram najbliższej sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/,Najbliższa ses,"Nie mam dostępu do aktualnego harmonogramu sesji na Wydziale MiNI PW. Dokładne daty sesji egzaminacyjnej (zimowej lub letniej) oraz sesji poprawkowej znajdziesz w:

1. **Zarządzeniu Rektora PW** o organizacji roku akademickiego (publikowane na stronie BIP PW),
2. **Stronie wydziału MiNI** (mini.pw.edu.pl) – zakładka dla studentów,
3. **Systemie USOS** – kalendarz akademicki.

Zazwyczaj sesja zimowa trwa ok. 2 tygodni na przełomie stycznia i lutego, a sesja poprawkowa odbywa się we wrześniu. Konkretne terminy egzaminów ustalają prowadzący w porozumieniu ze starostami grup.",Dokładny harmonogram najbliższej ses,
jakie są terminy egzaminów w sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/,"Terminy egzaminów w sesji zależą od konkretnego przedmiotu i prowadzącego, więc najlepiej sprawdzić je w **USOSweb** przy danym przedmiocie oraz w komunikatach prowadzącego na **Moodle/MS Teams**. Ogólne ramy sesji są podane w **harmonogramie roku akademickiego PW** oraz na stronie Wydziału MiNI.  

Kluczowe kroki: sprawdź USOS → zakładkę przedmiotu/egzaminów → komunikaty prowadzącego → ewentualnie plan sesji na stronie wydziału. Jeśli terminu nie ma, napisz do prowadzącego lub dziekanatu.","Terminy egzaminów w sesji ustalają wykładowcy poszczególnych przedmiotów w porozumieniu ze starostami grup, zgodnie z harmonogramem roku akademickiego MiNI PW. Sesja zimowa odbywa się zwykle na przełomie stycznia i lutego, a letnia w czerwcu; sesje poprawkowe – w lutym i we wrześniu.

Aby sprawdzić konkretne terminy:
1. Zaloguj się do systemu **USOSweb** – tam znajdziesz daty egzaminów dla swoich przedmiotów.
2. Sprawdź **harmonogram roku akademickiego** na stronie wydziału (mini.pw.edu.pl).
3. W razie wątpliwości skontaktuj się z **dziekanatem** lub prowadzącym przedmiot.",Dokładne terminy egzaminów w,
kiedy rozpoczyna się i kończy sesja w tym semestrze,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,,"Dokładne daty sesji egzaminacyjnej zależą od harmonogramu roku akademickiego, który jest publikowany przez Politechnikę Warszawską. Zazwyczaj:

- **Sesja zimowa**: koniec stycznia – początek lutego (sesja podstawowa), a sesja poprawkowa w drugiej połowie lutego.
- **Sesja letnia**: druga połowa czerwca – początek lipca (podstawowa), poprawkowa we wrześniu.

Aby poznać dokładne daty na bieżący semestr, sprawdź: [www.pw.edu.pl](https://www.pw.edu.pl) (zakładka „Organizacja roku akademickiego"") lub stronę Wydziału MiNI: [mini.pw.edu.pl](https://mini.pw.edu.pl).",Dokładne daty sesji egzaminacyjnej,
które dni są wolne od zajęćo zmienionym planie na dzień,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Dni wolne od zajęć oraz dni z zajęciami według zmienionego planu są określone w **kalendarzu roku akademickiego PW** oraz w komunikatach **Dziekanatu MiNI**. Najczęściej obejmują: święta ustawowe, przerwy świąteczne, dni/godziny rektorskie lub dziekańskie oraz wskazane dni, w których zajęcia odbywają się według planu z innego dnia tygodnia.

Sprawdź aktualnie:
1. stronę PW – „Kalendarz roku akademickiego”,
2. stronę MiNI – komunikaty dla studentów,
3. USOS /","Na Politechnice Warszawskiej (w tym na MiNI) plan zajęć bywa modyfikowany, gdy dzień wolny lub świąteczny powoduje ""stratę"" zajęć z konkretnego dnia tygodnia. Wtedy Rektor wydaje zarządzenie, że np. w czwartek odbywają się zajęcia według planu z poniedziałku.

Konkretne dni z przesuniętym planem są ogłaszane co semestr w **zarządzeniu Rektora PW o organizacji roku akademickiego** – warto sprawdzić:
- stronę BIP PW (zarządzenia Rektora),
- stronę Wydziału MiNI (sekcja ""Studenci"" / ""Aktualności""),
- harmonogram semestru w USOS.

Jeśli podasz, o który semestr/rok akademicki pytasz, mogę",Dokładny wykaz dni wolnych oraz dni ze,
kiedy plan jest zmieniony np poniedziałek w czwartek,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Takie zmiany są ogłaszane w **harmonogramie roku akademickiego PW** – np. zapis „w czwartek zajęcia odbywają się według planu poniedziałkowego” oznacza, że tego dnia realizujesz zajęcia z poniedziałkowego rozkładu.  

Najlepiej sprawdzić:  
1. **kalendarz akademicki","Na Politechnice Warszawskiej zmiany w organizacji zajęć (tzw. ""dni rektorskie"" lub przesunięcia) ogłaszane są w **harmonogramie roku akademickiego**, który publikuje Rektor PW oraz Dziekan Wydziału MiNI.

Najczęstsze sytuacje to:
- **""Poniedziałek wg planu czwartku""** itp. – stosowane, gdy w semestrze wypada za mało/za dużo zajęć danego dnia (np. przez święta).
- Konkretne daty znajdziesz w **Zarządzeniu Rektora** o organizacji roku akademickiego oraz w komunikatach dziekanatu MiNI.

Sprawdź aktualny harmonogram na stronie **www.mini.pw.edu.pl** w zakładce ""Studenci"" → ""Organizacja ro",Zmiany dni tygodnia w planie zajęć (np,
